date,open,high,low,close,volume
2010-02-03,1.39634,1.40247,1.38881,1.38957,80036.3
2010-02-04,1.38966,1.39022,1.3727,1.37405,79646.5
2010-02-05,1.37396,1.37448,1.35816,1.36631,80344.2
2010-02-06,1.36634,1.36775,1.36541,1.36763,2483.6
2010-02-08,1.36553,1.37128,1.36195,1.36573,77636.1
2010-02-09,1.36578,1.38385,1.364,1.37764,78953.3
2010-02-10,1.37768,1.38112,1.36747,1.37269,80388.9
2010-02-11,1.37277,1.37999,1.3593,1.36798,80031.9
2010-02-12,1.36796,1.36959,1.35276,1.3616,79496.7
2010-02-13,1.36159,1.36364,1.36118,1.36305,3364.9
2010-02-15,1.3624,1.36323,1.35767,1.35993,76302.4
2010-02-16,1.35984,1.37778,1.35872,1.37665,80628.5
2010-02-17,1.37665,1.37892,1.35834,1.36047,80724.6
2010-02-18,1.36048,1.36529,1.35368,1.36104,80542.8
2010-02-19,1.36096,1.36204,1.34431,1.35933,81074.9
2010-02-20,1.35929,1.36172,1.35904,1.36082,2561.0
2010-02-22,1.3633,1.36534,1.35723,1.35983,77433.6
2010-02-23,1.35987,1.36917,1.3495,1.35003,80789.3
2010-02-24,1.35003,1.36253,1.34988,1.35323,80317.7
2010-02-25,1.35324,1.35696,1.34484,1.35565,80730.5
2010-02-26,1.35554,1.36825,1.35271,1.36147,79941.7
2010-02-27,1.36147,1.3634,1.36109,1.3628,2623.8
2010-03-01,1.36207,1.36538,1.34589,1.35582,77699.7
2010-03-02,1.35573,1.36207,1.34345,1.36065,80562.5
2010-03-03,1.36057,1.37356,1.35898,1.36942,80369.4
2010-03-04,1.36946,1.37108,1.35504,1.3589,80263.9
2010-03-05,1.35888,1.36297,1.35288,1.36184,79125.2
2010-03-06,1.36194,1.36257,1.36153,1.36222,3264.1
2010-03-08,1.36316,1.37038,1.36038,1.36291,76033.6
2010-03-09,1.36302,1.36348,1.35337,1.35973,79058.5
2010-03-10,1.35977,1.36795,1.35416,1.36485,80167.8
2010-03-11,1.36486,1.36857,1.36175,1.36803,79826.5
2010-03-12,1.36796,1.37981,1.36671,1.37594,80152.0
2010-03-13,1.37594,1.3768,1.37559,1.37653,2496.2
2010-03-15,1.37699,1.37778,1.36382,1.36754,80024.4
2010-03-16,1.36748,1.37808,1.36549,1.37641,79840.4
2010-03-17,1.37641,1.38171,1.37232,1.37363,79941.3
2010-03-18,1.37357,1.37423,1.35826,1.36055,79361.6
2010-03-19,1.36056,1.36269,1.34997,1.35287,80767.6
2010-03-22,1.3534,1.35673,1.34606,1.3557,79979.1
2010-03-23,1.35562,1.35679,1.34739,1.34974,80419.6
2010-03-24,1.3497,1.35054,1.33092,1.33124,79249.6
2010-03-25,1.33114,1.33881,1.32658,1.32702,79773.5
2010-03-26,1.32694,1.34246,1.32664,1.34081,80065.0
2010-03-29,1.34147,1.35051,1.34147,1.34812,80123.6
2010-03-30,1.34812,1.35348,1.33931,1.34113,79428.3
2010-03-31,1.34079,1.35475,1.33819,1.35075,79226.6
2010-04-01,1.35074,1.35904,1.34575,1.35872,79448.1
2010-04-02,1.3583,1.35899,1.34713,1.35012,79591.7
2010-04-05,1.3497,1.3538,1.34562,1.34829,79478.9
2010-04-06,1.34814,1.3496,1.33536,1.33978,78731.8
2010-04-07,1.33975,1.3408,1.33248,1.33424,80486.1
